URL,Data Extrase
Sursa,N/A
https://stiri.md/article/social/alerta-falsa-cu-bomba-la-o-institutie-de-plasament-autorul-apelului-este-cautat,"8 Octombrie 2024, 20:28"
https://stiri.md/article/social/proba-interviului-in-concursul-pentru-sefia-pccocs-amanata,"8 Octombrie 2024, 20:50"
https://stiri.md/article/international/lituania-a-confiscat-provizii-militare-destinate-rusiei-din-kaliningrad,"8 Octombrie 2024, 20:45"
https://stiri.md/article/politica/programul-pentru-o-moldova-normala-ce-promite-ulianovschi-daca-devine-presedinte,"8 Octombrie 2024, 20:40"
https://stiri.md/article/social/experti-pamantul-arata-un-viitor-sumbru-pentru-umanitate,"8 Octombrie 2024, 20:30"
https://stiri.md/article/social/reparatia-drumului-traficul-in-unele-zone-din-capitala-suspendat,"8 Octombrie 2024, 20:20"
https://stiri.md/article/international/rusia-mentine-legatura-cu-sua-si-nato-ca-sa-previna-conflictele-nucleare,"8 Octombrie 2024, 20:15"
https://stiri.md/article/social/un-activist-cere-o-ancheta-in-legatura-cu-atentatul-asupra-lui-gorbuntov,"8 Octombrie 2024, 20:10"
https://stiri.md/article/international/cine-sunt-principalii-cumparatori-ai-motorinei-rusesti-dupa-embargoul-ue,"8 Octombrie 2024, 20:00"
https://stiri.md/article/social/moldovenii-vor-salarii-europene-si-legi-stricte-ca-in-ue,"10 Octombrie 2024, 19:00"
https://stiri.md/article/politica/adrian-albu-daca-sandu-se-teme-de-banditi-nu-trebuie-sa-fie-presedinte,"10 Octombrie 2024, 19:20"
https://stiri.md/article/politica/ambasador-produsele-din-r-moldova-isi-gasesc-deja-locul-pe-piata-ue,"10 Octombrie 2024, 19:10"
https://stiri.md/article/international/zelenski-s-a-intalnit-cu-premierul-britanic-la-londra-prima-oprire-din-turneu,"10 Octombrie 2024, 18:50"
https://stiri.md/article/social/r-moldova-se-confrunta-cu-o-criza-a-donatorilor-de-organe-ce-spun-medicii,"10 Octombrie 2024, 18:40"
https://stiri.md/article/social/peste-300-de-plante-de-canepa-descoperite-intr-o-gospodarie-din-comrat,"10 Octombrie 2024, 18:30"
